;Pzzu_cor_2003;Pzzu_cor_2011;Pzzu_cor_2018;Pzzu_par_2006;Pzzu_par_2011;Pzzu_par_2018;Gabin_par_1999;Gabin_par_2007;Gabin_par_2009;Pzzinu_par_2006;Pzzinu_par_2016;Pzzinu_par_2011;Passe_cor_2006;Passe_cor_2011;Passe_cor_2018
Liagora.sp;0;0;0;0;0,004166667;0;0;0;0;0;0;0;0;0;0
Lichenophora.radiata;0;0;0;0;0;0;0;0;0;0;0;0,027916667;0;0;0
Lithophyllum.stictaeforme;0;0;0;0,1875;0,125;0,020833333;0,125;0,145833333;0;0,027916667;0,055833333;0,027916667;0;0;0
Mesophyllum.alternans;0;0;0;0,083333333;0,104166667;0,083333333;0;0,020833333;0;0,027916667;0,11125;0,027916667;0;0;0
Miniacina.mineacea;0,483333333;0,216666667;1,370833333;0,208333333;0,416666667;0,6875;0;0;0;0,86125;1,360833333;1,11125;0,777916667;1,555;1,500416667
Mixture.complex;57,62506667;52,9084;56,30423333;19,20833333;10,375;13,5625;11,08333333;22,9375;12;11,945;18,75041667;11,58333333;38,61041667;36,27833333;35,02625
Myriapora.truncata;0;0;0;0;0;0;0,041666667;0;0;0;0;0;0;0;0
Oscarella.sp;0;0,233333333;0;0;0;0;0;0;0;0;0,139166667;0,110416667;0;0;0
Other.sponge.2.black.encrusting;0;0;0;0;0;0;8;2,875;0,875;0;0;0;0;0;0
Other.sponge.3.orange.encrusting;0;0,316666667;0;0,208333333;0,3125;0;0,083333333;0,083333333;0;0,500416667;0;0,11125;0;0;0
Other.sponge.4.yellow.encrusting;0,266666667;0,033333333;0,266666667;0,270833333;0,0625;0,270833333;0,041666667;0;0,041666667;0,2225;0,2225;0,305833333;0,027916667;0,333333333;1,139166667
Other.sponge.5.grey.white.emcrusting;0,35;1,016666667;0,166666667;0,125;0,104166667;0,020833333;0;0,166666667;0,041666667;0;0;0;0;0;0
Other.sponge.6.grey.white.massive;0,233333333;0,05;0;0;0;0;0;0;0;0;0,25;0;0;0;0
Other.sponge.encrusting.green;0;0;0;0,125;0,645833333;0,416666667;0;0;0;0;0;0;0;0;0
Other.sponge.encrusting.red;0;0;0;0;0,125;0,083333333;0,208333333;0,3125;0,166666667;0;0;0;0;0;0
Padina.pavonica;0;0;0;0;0;0;0,333333333;0;0,166666667;0;0;0;0;0;0
Palmophyllum.crassum;0;0;0;0;0;0;0;0;0;0,083333333;0,47125;0,139583333;0;0;0
Paramuricea.clavata;0;0;0;6,375;2,854166667;0,875;55,83333333;21,64583333;19,625;19,19416667;20,00041667;20,44291667;0;0;0
Parazoanthus.axinellae;0;0;0;15,45833333;10,375;9,104166667;0,875;2,979166667;2,458333333;0;0;0;0;0;0
Pentapora.fascialis;0;0;0;0;0;0;0,75;1,395833333;0,5;0;0;0;0;0;0
Petrosia.ficiformis;3,9;2,583333333;1,358333333;0,1875;0,4375;0,208333333;0;0;0;1,88875;2,444583333;1,362083333;0,555833333;0,63875;0,972083333
Peyssonnelia.sp;0;0;0;0,875;2,1875;3,416666667;0,041666667;0,458333333;0,583333333;0,444583333;1,444583333;0;0;0;0
Phorbas.tenacior;0,083333333;0,916666667;0,95;0,583333333;0,8125;1,416666667;0,458333333;0;0;2,139166667;1,66625;2,9725;0;0;0
Plakina.sp;0,066666667;0,116666667;0;0,479166667;1,083333333;1,541666667;0;0;0;0;0,305833333;0,139166667;0;0;0
Pleraplysilla.spinifera;1,466666667;1,416666667;0,695833333;1,4375;2,083333333;1,0625;1,208333333;0,041666667;0;4,055416667;3,805833333;3,415833333;0,832916667;1,72125;2,944583333
Prosuberites.longispinus;0;0;0,183333333;0;0,5625;1,479166667;0;0;0;0;0,13875;0,277916667;0;0;0
Protula.sp.Serpula.vermicularis;0,233333333;0,4;0,733333333;0,0625;0;0,041666667;0;0;0;0,111666667;0,08375;0,14;0,084166667;0,111666667;0,222916667
Pycnoclavella.sp;0;0;0;0;0;0;0,083333333;4,416666667;0,666666667;0;0;0;0;0;0
Red.macroalgae.erect.no.id;0;0;0;0,020833333;0,25;0,541666667;0,125;0;0;0,305833333;0,305;0,16625;0;0;0
Reteporella.grimaldii;0,583333333;0,033333333;0,2;3,1875;0,8125;0,270833333;0;0;0;3,88875;2,44375;3,3575;6,720833333;3,916666667;3,5275
Rhodymenia.ardissonei;0;0;0;0;0,229166667;0;0;0;0;0;0;0,389166667;0;0;0
Sargassum.type;0;0;0;0;0;0;0;0;6,833333333;0;0;0;0;0;0
Schizomavella.linearis;0;0;0;0;0;0;0,041666667;0;0;0;0;0;0;0;0
Schizomavella.mamillata;0;0;0;0;0;0;1,083333333;0;0;0;0;0;0;0;0
Scrupocellaria.sp;0,15;0;0,35;0;0;0,083333333;0,041666667;0;0;0;0;0;0,027916667;0,083333333;0,11
Serpulidae;0,566666667;1,483333333;3,279166667;0,729166667;0,333333333;0,354166667;0,083333333;0;0;0,334166667;0,055833333;0,167083333;0,89;2,249583333;1,527083333
Smittoidea.sp;0;0;0;0;0;0;0;0,041666667;0;0;0;0;0;0;0
Spongia.virgultosa;0;0;0;0,020833333;0,166666667;0,0625;0;0;0;0;0;0;0;0;0
Spongosorites.intrincatus;0;0,183333333;0,283333333;0;0,041666667;0,895833333;0;0;0;0;0,332916667;0;1,0825;0,915416667;5,445416667
Turbicellepora.sp;0;0;0,05;0,0625;0;0;0;0;0;0;0;0;0,13875;0,0275;0,027916667
Valonia.macrophysa;0;0;0;0;0,020833333;0,041666667;0;0;0;0;0,139166667;0,25;0;0;0
