Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
27,697;2,718;Corallium;Passe_cor;NA;NA;NA;NA
27,7475;2,7036;Corallium;Passe_cor;NA;NA;NA;NA
27,798;2,6813;Corallium;Passe_cor;NA;NA;NA;NA
27,8485;2,6505;Corallium;Passe_cor;NA;NA;NA;NA
27,899;2,6104;Corallium;Passe_cor;NA;NA;NA;NA
27,9495;2,5605;Corallium;Passe_cor;NA;NA;NA;NA
28;2,5;Corallium;Passe_cor;NA;NA;NA;NA
22,5;;Corallium;Pzzu_cor;NA;NA;NA;NA
23;83;Corallium;Pzzu_cor;NA;NA;NA;NA
23,0505;80,0255;Corallium;Pzzu_cor;NA;NA;NA;NA
23,101;77,125;Corallium;Pzzu_cor;NA;NA;NA;NA
23,1515;74,2976;Corallium;Pzzu_cor;NA;NA;NA;NA
23,202;71,5425;Corallium;Pzzu_cor;43;2014;0,21;No
23,2525;68,8586;Corallium;Pzzu_cor;NA;NA;NA;NA
23,303;66,2452;Corallium;Pzzu_cor;NA;NA;NA;NA
23,3535;63,7012;Corallium;Pzzu_cor;NA;NA;NA;NA
23,404;61,2257;Corallium;Pzzu_cor;NA;NA;NA;NA
23,4545;58,8179;Corallium;Pzzu_cor;NA;NA;NA;NA
23,5051;56,4768;Corallium;Pzzu_cor;NA;NA;NA;NA
23,5556;54,2014;Corallium;Pzzu_cor;NA;NA;NA;NA
23,6061;51,9908;Corallium;Pzzu_cor;NA;NA;NA;NA
23,6566;49,8441;Corallium;Pzzu_cor;NA;NA;NA;NA
23,7071;47,7604;Corallium;Pzzu_cor;NA;NA;NA;NA
23,7576;45,7386;Corallium;Pzzu_cor;NA;NA;NA;NA
23,8081;43,778;Corallium;Pzzu_cor;NA;NA;NA;NA
23,8586;41,8775;Corallium;Pzzu_cor;NA;NA;NA;NA
23,9091;40,0362;Corallium;Pzzu_cor;NA;NA;NA;NA
23,9596;38,2531;Corallium;Pzzu_cor;NA;NA;NA;NA
24,0101;36,5274;Corallium;Pzzu_cor;NA;NA;NA;NA
24,0606;34,858;Corallium;Pzzu_cor;NA;NA;NA;NA
24,1111;33,2441;Corallium;Pzzu_cor;NA;NA;NA;NA
24,1616;31,6846;Corallium;Pzzu_cor;NA;NA;NA;NA
24,2121;30,1787;Corallium;Pzzu_cor;NA;NA;NA;NA
24,2626;28,7254;Corallium;Pzzu_cor;NA;NA;NA;NA
24,3131;27,3237;Corallium;Pzzu_cor;NA;NA;NA;NA
24,3636;25,9727;Corallium;Pzzu_cor;NA;NA;NA;NA
24,4141;24,6715;Corallium;Pzzu_cor;NA;NA;NA;NA
24,4646;23,419;Corallium;Pzzu_cor;NA;NA;NA;NA
